Current Pose: X: -0.333574, Y: -0.396575, Z: 0.916122, Yaw: 1.46558, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.500362, Y: 0.594863, Z: -1.37418, Velocity_in: X: -0.000760737, Y: 0.000868987, Z: 0.00843038, Error: X: 0.333574, Y: 0.396575, Z: -0.916122, 
Current Pose: X: -0.333816, Y: -0.396598, Z: 0.916671, Yaw: 1.46559, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.500723, Y: 0.594897, Z: -1.37501, Velocity_in: X: -0.000851529, Y: 0.00181032, Z: 0.00837987, Error: X: 0.333816, Y: 0.396598, Z: -0.916671, 
Current Pose: X: -0.333987, Y: -0.396624, Z: 0.917136, Yaw: 1.46561, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.500981, Y: 0.594936, Z: -1.3757, Velocity_in: X: -0.000841695, Y: 0.00204782, Z: 0.00821854, Error: X: 0.333987, Y: 0.396624, Z: -0.917136, 
Current Pose: X: -0.334204, Y: -0.396655, Z: 0.917876, Yaw: 1.46566, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.501306, Y: 0.594982, Z: -1.37681, Velocity_in: X: -0.00094568, Y: 0.00221323, Z: 0.00818912, Error: X: 0.334204, Y: 0.396655, Z: -0.917876, 
Current Pose: X: -0.334372, Y: -0.396704, Z: 0.918781, Yaw: 1.46566, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.501558, Y: 0.595056, Z: -1.37817, Velocity_in: X: -0.000793057, Y: 0.00218274, Z: 0.00857523, Error: X: 0.334372, Y: 0.396704, Z: -0.918781, 
Current Pose: X: -0.334508, Y: -0.396765, Z: 0.919623, Yaw: 1.46569, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.501762, Y: 0.595148, Z: -1.37943, Velocity_in: X: -0.00070754, Y: 0.00184666, Z: 0.00887219, Error: X: 0.334508, Y: 0.396765, Z: -0.919623, 
Current Pose: X: -0.334585, Y: -0.39681, Z: 0.920116, Yaw: 1.46572, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.501878, Y: 0.595214, Z: -1.38017, Velocity_in: X: -0.000544271, Y: 0.00157112, Z: 0.00887499, Error: X: 0.334585, Y: 0.39681, Z: -0.920116, 
Current Pose: X: -0.334697, Y: -0.396859, Z: 0.920799, Yaw: 1.46574, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.502046, Y: 0.595288, Z: -1.3812, Velocity_in: X: -0.000384655, Y: 0.00129647, Z: 0.00872533, Error: X: 0.334697, Y: 0.396859, Z: -0.920799, 
Current Pose: X: -0.33477, Y: -0.396912, Z: 0.921456, Yaw: 1.46569, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.502155, Y: 0.595368, Z: -1.38218, Velocity_in: X: -0.000119541, Y: 0.00110765, Z: 0.00901287, Error: X: 0.33477, Y: 0.396912, Z: -0.921456, 
Current Pose: X: -0.334801, Y: -0.396957, Z: 0.922022, Yaw: 1.46572, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.502202, Y: 0.595436, Z: -1.38303, Velocity_in: X: -0.000180133, Y: 0.000762826, Z: 0.00854309, Error: X: 0.334801, Y: 0.396957, Z: -0.922022, 
