Current Pose: X: 0.00198538, Y: -0.00829416, Z: -3.46234, Yaw: 1.8794, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00198538, Y: 0.00829416, Z: 3.46234, Velocity_in: X: -0.00726824, Y: -6.99066e-05, Z: -0.00385588, Error: X: -0.00198538, Y: 0.00829416, Z: 3.46234, 
Current Pose: X: 0.00194592, Y: -0.00790564, Z: -3.46296, Yaw: 1.87934, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00194592, Y: 0.00790564, Z: 3.46296, Velocity_in: X: -0.00729878, Y: -6.13993e-05, Z: -0.00393451, Error: X: -0.00194592, Y: 0.00790564, Z: 3.46296, 
Current Pose: X: 0.001996, Y: -0.00772167, Z: -3.46363, Yaw: 1.8793, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.001996, Y: 0.00772167, Z: 3.46363, Velocity_in: X: -0.00163841, Y: -0.00249742, Z: -0.00432518, Error: X: -0.001996, Y: 0.00772167, Z: 3.46363, 
Current Pose: X: 0.00203812, Y: -0.00756841, Z: -3.4641, Yaw: 1.87929, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00203812, Y: 0.00756841, Z: 3.4641, Velocity_in: X: -0.001329, Y: -0.00205713, Z: -0.0038622, Error: X: -0.00203812, Y: 0.00756841, Z: 3.4641, 
Current Pose: X: 0.00207729, Y: -0.00737048, Z: -3.46459, Yaw: 1.87928, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00207729, Y: 0.00737048, Z: 3.46459, Velocity_in: X: -0.00108371, Y: -0.00250068, Z: -0.00415726, Error: X: -0.00207729, Y: 0.00737048, Z: 3.46459, 
Current Pose: X: 0.00211334, Y: -0.00720049, Z: -3.46505, Yaw: 1.87932, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00211334, Y: 0.00720049, Z: 3.46505, Velocity_in: X: -0.00113355, Y: -0.00227236, Z: -0.00423024, Error: X: -0.00211334, Y: 0.00720049, Z: 3.46505, 
Current Pose: X: 0.00214588, Y: -0.00708677, Z: -3.46541, Yaw: 1.87931, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00214588, Y: 0.00708677, Z: 3.46541, Velocity_in: X: -0.00123085, Y: -0.00259166, Z: -0.00452476, Error: X: -0.00214588, Y: 0.00708677, Z: 3.46541, 
Current Pose: X: 0.00217291, Y: -0.00695349, Z: -3.46595, Yaw: 1.87931, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00217291, Y: 0.00695349, Z: 3.46595, Velocity_in: X: -0.00114811, Y: -0.00252821, Z: -0.00466123, Error: X: -0.00217291, Y: 0.00695349, Z: 3.46595, 
Current Pose: X: 0.00219716, Y: -0.00684644, Z: -3.46676, Yaw: 1.87929, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00219716, Y: 0.00684644, Z: 3.46676, Velocity_in: X: -0.00103279, Y: -0.00224268, Z: -0.00450384, Error: X: -0.00219716, Y: 0.00684644, Z: 3.46676, 
Current Pose: X: 0.00221647, Y: -0.00676136, Z: -3.46765, Yaw: 1.87928, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00221647, Y: 0.00676136, Z: 3.46765, Velocity_in: X: -0.00121969, Y: -0.00186718, Z: -0.00466105, Error: X: -0.00221647, Y: 0.00676136, Z: 3.46765, 
