Current Pose: X: -0.0328124, Y: -0.10317, Z: -4.22836, Yaw: 1.75608, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328124, Y: 0.10317, Z: 4.22836, Velocity_in: X: -0.00115499, Y: -0.000649381, Z: 0.00121982, Error: X: 0.0328124, Y: 0.10317, Z: 4.22836, 
Current Pose: X: -0.0328183, Y: -0.103195, Z: -4.22869, Yaw: 1.7561, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328183, Y: 0.103195, Z: 4.22869, Velocity_in: X: -0.00117973, Y: -0.000590532, Z: 0.00158946, Error: X: 0.0328183, Y: 0.103195, Z: 4.22869, 
Current Pose: X: -0.032824, Y: -0.103244, Z: -4.22893, Yaw: 1.75609, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.032824, Y: 0.103244, Z: 4.22893, Velocity_in: X: -0.00139642, Y: -0.000507742, Z: 0.00198972, Error: X: 0.032824, Y: 0.103244, Z: 4.22893, 
Current Pose: X: -0.0328287, Y: -0.103306, Z: -4.22937, Yaw: 1.75616, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328287, Y: 0.103306, Z: 4.22937, Velocity_in: X: -0.00170807, Y: -0.00041057, Z: 0.00213341, Error: X: 0.0328287, Y: 0.103306, Z: 4.22937, 
Current Pose: X: -0.0328327, Y: -0.10339, Z: -4.22983, Yaw: 1.75616, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328327, Y: 0.10339, Z: 4.22983, Velocity_in: X: -0.00196535, Y: -0.000490262, Z: 0.00138051, Error: X: 0.0328327, Y: 0.10339, Z: 4.22983, 
Current Pose: X: -0.0328359, Y: -0.10347, Z: -4.23019, Yaw: 1.75608, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328359, Y: 0.10347, Z: 4.23019, Velocity_in: X: -0.00214567, Y: -0.000585685, Z: 0.00143992, Error: X: 0.0328359, Y: 0.10347, Z: 4.23019, 
Current Pose: X: -0.0328486, Y: -0.103552, Z: -4.23064, Yaw: 1.75612, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328486, Y: 0.103552, Z: 4.23064, Velocity_in: X: -0.00215181, Y: -0.000338417, Z: 0.00109073, Error: X: 0.0328486, Y: 0.103552, Z: 4.23064, 
Current Pose: X: -0.0328504, Y: -0.103611, Z: -4.23099, Yaw: 1.75612, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328504, Y: 0.103611, Z: 4.23099, Velocity_in: X: -0.00221483, Y: -0.000373861, Z: 0.00117757, Error: X: 0.0328504, Y: 0.103611, Z: 4.23099, 
Current Pose: X: -0.0328657, Y: -0.103695, Z: -4.23158, Yaw: 1.75613, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328657, Y: 0.103695, Z: 4.23158, Velocity_in: X: -0.00213344, Y: 2.98272e-05, Z: 0.00135082, Error: X: 0.0328657, Y: 0.103695, Z: 4.23158, 
Current Pose: X: -0.0328816, Y: -0.103794, Z: -4.2321, Yaw: 1.7561, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328816, Y: 0.103794, Z: 4.2321, Velocity_in: X: -0.00248301, Y: -5.79042e-05, Z: 0.00133079, Error: X: 0.0328816, Y: 0.103794, Z: 4.2321, 
Current Pose: X: -0.0328926, Y: -0.103861, Z: -4.23246, Yaw: 1.7561, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0328926, Y: 0.103861, Z: 4.23246, Velocity_in: X: -0.00283285, Y: -0.000219944, Z: 0.00119597, Error: X: 0.0328926, Y: 0.103861, Z: 4.23246, 
Current Pose: X: -0.0329173, Y: -0.103957, Z: -4.2329, Yaw: 1.75609, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0329173, Y: 0.103957, Z: 4.2329, Velocity_in: X: -0.00244787, Y: -0.000106282, Z: 0.00116139, Error: X: 0.0329173, Y: 0.103957, Z: 4.2329, 
Current Pose: X: -0.0329541, Y: -0.104055, Z: -4.23329, Yaw: 1.75616, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0329541, Y: 0.104055, Z: 4.23329, Velocity_in: X: -0.00284736, Y: 0.000348095, Z: 0.0012824, Error: X: 0.0329541, Y: 0.104055, Z: 4.23329, 
Current Pose: X: -0.0329825, Y: -0.104126, Z: -4.23357, Yaw: 1.75615, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0329825, Y: 0.104126, Z: 4.23357, Velocity_in: X: -0.00274017, Y: 0.000667345, Z: 0.0010977, Error: X: 0.0329825, Y: 0.104126, Z: 4.23357, 
Current Pose: X: -0.0330154, Y: -0.104238, Z: -4.23398, Yaw: 1.7562, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0330154, Y: 0.104238, Z: 4.23398, Velocity_in: X: -0.00291189, Y: 0.00033877, Z: 0.00146272, Error: X: 0.0330154, Y: 0.104238, Z: 4.23398, 
Current Pose: X: -0.0330473, Y: -0.104351, Z: -4.23441, Yaw: 1.75626, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0330473, Y: 0.104351, Z: 4.23441, Velocity_in: X: -0.00361146, Y: 0.00065359, Z: 0.00158333, Error: X: 0.0330473, Y: 0.104351, Z: 4.23441, 
